time,"# warm-ups since codes cleared ()","Absolute load value (%)","Absolute pedal position D (%)","Absolute pedal position E (%)","Absolute throttle position B (%)","Altitude (GPS) (m)","Ambient air temperature (℃)","Average fuel consumption (L/100km)","Average fuel consumption (total) (L/100km)","Average fuel consumption 10 sec (L/100km)","Average speed (km/h)","Average speed (GPS) (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated engine load value (%)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Catalyst temperature Bank 1 Sensor 1","Commanded evaporative purge (%)","Commanded throttle actuator (%)","Control module voltage (V)","Distance traveled since codes cleared (km)","Distance traveled with MIL on (km)","Distance travelled (km)","Distance travelled (total) (km)","Engine coolant temperature","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (total) (L)","Fuel used price (£)","Fuel used price (total) (£)","Fuel/Air commanded equivalence ratio ()","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Long term fuel % trim - Bank 1 (%)","Long term secondary oxygen sensor trim Bank 1 (%)","OBD Module Voltage (V)","Oxygen sensor 1 Bank 1 Short term fuel trim (%)","Oxygen sensor 1 Bank 1 Voltage (V)","Oxygen sensor 2 Bank 1 Voltage (V)","Relative throttle position (%)","Short term fuel % trim - Bank 1 (%)","Speed (GPS) (km/h)","Throttle position (%)","Timing advance (°)","Vehicle acceleration (g)","Vehicle speed (km/h)",Latitude,Longtitude,
15:39:44.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63156736,,,,,,,,,,,,,,,,,12.9078383333333,77.5401233333333,
15:39:44.899,,,,,,770.9,,,,,,3.74035689010077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1050359725952,,,,,12.9078616666667,77.5400916666667,
15:39:44.902,,,,,,770.9,,,,,,3.74278704792247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1050359725952,,,,,12.9078616666667,77.5400916666667,
15:39:44.903,,,,,,770.9,,,,,,3.74338112041779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1050359725952,,,,,12.9078616666667,77.5400916666667,
15:39:44.907,,,,,,793.700012207031,,,,,,3.74650264332639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.354919052124,,,,,12.9078616666667,77.5400916666667,
15:39:45.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,23.1372549019608,,,,12.9078616666667,77.5400916666667,
15:39:45.166,,,,,,,,28.9337572281468,14.3834002349401,37.3978484746393,,,,,,,4.6918493367543,,,,,,,,,,1672,1.7,,0.00975193597774949,3.85070698098883,0.00984945533752699,3.88,,18.3554431317059,,,,,,,,,,,,,,,,12.9078616666667,77.5400916666667,
15:39:45.318,,,,,,,,,,,17.2825067910638,,,,,22.34213969883,,,,,,,,0.0390702390555556,26.7772481805,,,,,,,,,,,,,,,,,,,,,,,,,21,12.9078616666667,77.5400916666667,
15:39:45.448,,,,,,,,,,,,,,-0.09,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,12.9078616666667,77.5400916666667,
15:39:45.587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63156736,,,,,,,,,,,,,,,,,12.9078616666667,77.5400916666667,
15:39:45.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,26.6666666666667,,,,12.9078616666667,77.5400916666667,
15:39:45.932,,,,,,768.9,,,,,,5.00413539362771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.635620880127,,,,,12.90789,77.540045,
15:39:45.935,,,,,,768.9,,,,,,5.00699795563659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.635620880127,,,,,12.90789,77.540045,
15:39:45.948,,,,,,793.700012207031,,,,,,5.0183069116194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1033447265625,,,,,12.90789,77.540045,
15:39:46.036,,,,,,,,28.2785838105481,14.3853600240839,36.4859220082301,,,,,,,5.3654786252478,,,,,,,,,,1676,1.7,,0.0110485102963068,3.85200355530739,0.0111589953992698,3.88,,20.9908142208696,,,,,,,,,,,,,,,,12.90789,77.540045,
15:39:46.214,,,,,,,,,,,17.8492252531489,,,,,23.32816793586,,,,,,,,0.0447911076388889,26.7829690490833,,,,,,,,,,,,,,,,,,,,,,,,,23,12.90789,77.540045,
15:39:46.303,,,,,,786,,,,,,4.87608843765415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,12.90789,77.540045,
15:39:46.319,,,,,,786,,,,,,4.86971283259609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,12.90789,77.540045,
15:39:46.343,,,,,,786,,,,,,4.8887484142674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0932098388672,,,,,12.90789,77.540045,
